text,sentiment
"Trying to compare or represent this ""swill"" as anything ""Hitchcockian"" is an out-n-out attempt to mislead Hitchcock fans to waste $7 on this movie... Weak acting Weak story Weak script. <br /><br />No real suspense, no thrills. You wait all through the weakness of this movie for the big payoff or even any payoff...You're left thinking, what the heck was that all about.<br /><br />And please, enough with the movement to make ""alternative lifestyles"" HIP and politically correct!!...I can't recommend this to anyone...Did I mention how weak the acting is? Williams did a better job as Peter Pan and ""Mork"". But those were MUCH more innocent times...........",neg
"This program is a lot of fun and the title song is so catchy I can't get it out of my head. I find as I get older I am drawn to the wrinklies who get things done, and these four are excellent in their endeavors. Some of what they do is outrageous but brilliant considering that now days with our PC world we'd never be able to do it in real life. I always learn something from the shows. But if you like mystery, drama, comedy, and a little forensic work you'll love this show. It reminds me of Quincy, ME in one way and Barney Miller in another the way they work and inter-react with each other. They screw up a lot but they get the job done, and that's what counts.",pos
"The trailers get you to the movie, but the movie just wasn't worth my 8.50.. it has some good effects, but the storyline.. yech, i like tommy lee jones and will smith as actors, they have both done some good films, but i wish they hadn't added this one to their resume's. To be honest, the book is better..",neg
"I unknowingly had this movie on my shelf for a while in a Mill Creek Collection, and one night I just decided to watch it; though not expecting much. As the beginning credits roll around I'm surprised to discover this film was made under the Filmirage company. Filmirage brought the world such amazing stinkers as ""Troll 2"", ""Ator the Invincible"", and ""Quest for the Mighty Sword"", so I was compelled to watch.<br /><br />As the movie started out it had potential to be pretty decent, even though it was unoriginal. The gore scenes could have been improved if they were extended and more frequent. But after a while into the film, the pace started dragging and I found myself thinking ""Okay someone better get killed soon"",or ""Someone better mutate"". At the onset of this drag, when I was having these thoughts, though someone may have gotten killed or have mutated, however as noted, the gore and effects weren't very good. What made matters worse was that the scene transitions were confusing; example: first Dr. Houseman would be at the Zoo, then he'd have a flash back about possibly killing someone, finally he'd wake up in a cold sweat in bed-- making the audience ask ""Was he dreaming he was at the zoo?"". Like the movie's pace, these scene transitions got progressively worse.<br /><br />I could try to say the character development of Dr. Houseman was pretty good, but towards the end of the film, that is, once you've seen what the Doctor has metamorphosed into, hopefully you'll laugh-- which really, is the only reason to see this movie at least once; this movie unintentionally runs like a long-winded joke.<br /><br />The costume of the um, thing that Doctor Houseman becomes can also be seen in Joe D' Amato's ""Quest for the Mighty Sword"", which was made in the same year. You've gotta love Filmirage movies, they're always re-using the same stuff!",neg
"SEX WISH was actually released (minus ten minutes of more, ahem, 'extreme' footage) here in the UK back in the early days of the video boom, and caused a tabloid storm in a teacup when it allegedly inspired a copycat murder case. Strangely enough, the papers brushed this ultra-disturbing flick under the carpet in their headlong rush to get the comparatively innocuous likes of FROZEN SCREAM and NIGHT OF THE DEMON canned, and the film has been all but forgotten as a result. I jumped at the chance to watch it on a DVD-RW and spent most of the film's duration with my jaw on the floor. It's not so much politically incorrect as utterly demented, a triple-X take on Michael Winner's DEATH WISH (did the title kind of give the game away as far as inspiration was concerned?) with hardcore sex and some truly nasty violence thrown into an already bubbling brew of seventies sleaze. If you don't consider yourself to be squeamish, this may force you to think again. By the time SEX WISH is over, you'll want to scrub your eyeballs clean with disinfectant and take a long hot shower to purge yourself. If any film truly deserves the ""it's only a movie, only a movie, only a movie"" tag-line, it's this one.<br /><br />Highlights (or lowlights) - a rapist using a vibrator on a victim as he masturbates over her, Harry Reems's scene-stealing moustache, the helpless young black couple who are forced to screw in front the sword cane killer (they'd have won Oscars for their entirely credible performances if the Academy had gone mad) before the man is castrated for his troubles, and some jarringly slick direction that threatens to lift the proceedings above their obvious grind-house origins. Don't say I didn't warn you. If you thought the world was a more innocent place thirty years ago, SEX WISH will prove you very, very wrong.",neg
"Seriously, there is absolutely NOTHING good about this crap fest at all. Randolph Scott, a closet homosexual who lived with his lover Cary Grant for twelve years, is at his most wooden and boring in the least role. At 57 he was clearly far too old for these romantic roles, although it doesn't matter so much here because Gail Russell looks so much older than her 31 years and she is so ugly due to her chronic alcoholism and chain smoking. Lee Marvin plays his usual villainous role but it isn't enough to save this garbage. Thank God they don't make westerns any more, they're just dated, racist old movies that glamorise guns and murder.<br /><br />0/10.",neg
"Excellent movie, a realistic picture of contemporary Finland, touching and profound. One of the best Finnish films ever made. Captures marvelously the everyday life in a Central Finland small town, people's desires and weaknesses, joys and sorrows. The bright early fall sunshine creates a cool atmosphere to this lucid examination of people in a welfare society. Lampela is indeed one of the most promising Finnish filmmakers. He shows that it is possible to make gripping movies without machine guns and bloodshed. His next film Eila is also worth seeing although the story of cleaning women fighting for their jobs is not quite as universally appealing as the destinies in Joki.",pos
"I saw mommy...well, she wasn't exactly kissing Santa Clause; he has his hand on her thigh and wicked thoughts in mind.<br /><br />This was enough to emotionally scar a young boy who wanted to believe. He grew up to be a bitter man who was upset at the quality of the toys being made, and the lack of Christmas spirit.<br /><br />Expecting a real slasher flick, I was very disappointed that less than a handful of people dies, and there was no nudity at all. What a bummer.<br /><br />I wanted to like this flick, but it was just too slow and really didn't have a good script. I didn't expect great acting, but I sure wanted some action. There just wasn't any.",neg
"This is definitely the worst bigfoot movie I've ever seen and quite possibly the overall worst movie I've ever seen in my life. The actors and actresses were horrible and it seemed like they were trying way too hard to play their roles as dorks, tough guys, jerks, know it alls, etc. And the bigfoot itself was terrible. It appeared to be some kind of computer generated image from the days of Atari & Intellivision. At one point near the end of the movie as an army of sasquatches were chasing after the remaining survivors, one gets shot and as it's running it looked like a poor man's version of donkey kong himself! And one gets hit by a bullet and the blood that comes out of it was just awful animation. Another thing that was annoying was the music. Way way way too much music (classical score or whatever you call it) throughout the entire film. It was never ending. Oh yeah, the movie is boring too. Absolutely one of the worst films I've ever seen. I highly recommend taking your $3 or whatever they charge to rent this movie and spending it on a gallon of gas or a value menu somewhere. TRULY AWFUL!",neg
"In a nutshell: this is a cookie cutter romantic comedy that really WANTS and TRIES to be something more. It wants to be Harold and Maude, Annie Hall, The Graduate. It wants to be deep and human. It has interesting camera shots, lighting, music, editing, all of which give it the feel of an important movie. The dialog is smart -- at times. There are some ""laugh out loud"" moments.<br /><br />But here's what keeps it from ultimately being anything more than a formulaic late-night-cable, in-flight, time-killer: <br /><br />1. David Schwimmer -- how many times can Joe sad-sack puppy dog stare blankly into space with his jaw hanging open before it starts to get annoying? Maybe some drool would have helped.<br /><br />2. Gwenneth Paltrow -- she's really flat here and not just in the chest. Her role is supposed to be this lively, nice, caring girl who just keeps getting herself into wrong situations, is very confused as a result, and that is why a sad-sack loser like Schwimmer has any chance with her. But Gwenneth plays her very dull. Combine this with puppy-dog drool-face (above) and you have very little chemistry to care about.<br /><br />(I kept picturing someone else in this role -- Kate Hudson for example.) <br /><br />3. The script and the plot -- the stuff that happens just basically doesn't ring true; all the problems get wrapped up in the end with such a neat and tidy bow on top that it seems like a whistle blew and the script writers just said ""oops, time to wrap it up, got a train to catch!"" So they pulled out the Hollywood formula book, checked off all the boxes, and went home.",neg
Kenneth Branagh shows off his excellent skill in both acting and writing in this deep and thought provoking interpretation of Shakespeare's most classic and well-written tragedy. Kenneth plays the role of Hamlet with such a distinct emotion that provokes tears. Kate Winslet's performance is also of great note.,pos
